ERPNext Item Group,Parent Item Group,Is Group,Exported Direct Items,Enabled Direct Items,Disabled Direct Items,Review Status,Matrix Row,Solution Line,Category,Dealers Max Discount %,Traders Max Discount %,Technicians Max Discount %,NGOs / Parastatals Max Discount %,Corporates Max Discount %,End Users / Retail Max Discount %,Notes,Item Name Examples
Wt-Chemicals,Consumable,1,25,25,0,Accepted,14,Water Treatment Chemicals & Media,Chemicals,15.0,12.0,10.8,10.26,10.26,9.234,Accepted by user: use proposed Item Group mapping for all items in this group.,CIP RO 201 -5L | Eco Treat Bacteria Powder | Phosphorous acid 85% | CIP RO 201  25L
Wt-Filter Housing Accessories,Wt-Parts,1,25,25,0,Accepted,12,Water Treatment,Parts,10.0,8.0,7.2,6.84,6.84,6.156,Accepted by user: use proposed Item Group mapping for all items in this group.,"Filter bag 180*450mm /16"" Rubber ring | O-ring for 10"" housing slim | O-Ring for 20"" housing slim | O-Ring For Jumbo Housing 20"""
Wt-Filter Housings,Wt-Parts,1,0,0,0,Accepted,12,Water Treatment,Parts,10.0,8.0,7.2,6.84,6.84,6.156,Accepted by user: use proposed Item Group mapping for all items in this group.,
Wt-Filters And Catridges,Wt-Consumables,1,1,1,0,Accepted,11,Water Treatment,Consumables,30.0,24.0,21.6,20.52,20.52,18.468,Accepted by user: use proposed Item Group mapping for all items in this group.,Bag Filter 10 slim
Wt-Fittings And Accessories,All Item Groups,1,49,49,0,Accepted,29,Shared Piping / Hardware,"Fittings & Accessories (PVC,PPR,HDPE,GI)",25.0,20.0,18.0,17.1,17.1,15.39,Accepted by user: use proposed Item Group mapping for all items in this group.,"Reducing bush brass | Hex Nipple 1/4"" Brass | Brass socket 3/4"" | Reducing Bush 3/4x1/4"" Brass"
Wt-Flow Meters,Wt-Parts,1,0,0,0,Accepted,27,Specialized Industrial Products,Parts,10.0,8.0,7.2,6.84,6.84,6.156,Accepted by user: use proposed Item Group mapping for all items in this group.,
Wt-Frp Tank Accessories,Wt-Parts,0,26,25,1,Accepted,12,Water Treatment,Parts,10.0,8.0,7.2,6.84,6.84,6.156,Accepted by user: use proposed Item Group mapping for all items in this group.,"JD 315  For FRP( 18X65-21X62) | JD218-L Distributor 1 1/2"" L-Long | Distributor JD-215 TO (Distributor JD-215 TOP) | JD 216 Top Distributor FRP 1865-2069"
Wt-Frp Tanks,Wt-Parts,0,17,17,0,Accepted,10,Water Treatment,Equipment,50.0,40.0,36.0,34.2,34.2,30.78,Accepted by user: use proposed Item Group mapping for all items in this group.,"FRP tank 36*72 Double Open 4"" | FRP Tank 20X72 | FRP Tank 8x44 | FRP Tank 10x44"
Wt-Membranes,Consumable,0,44,44,0,Accepted,11,Water Treatment,Consumables,30.0,24.0,21.6,20.52,20.52,18.468,Accepted by user: use proposed Item Group mapping for all items in this group.,Biotech BW 4021 Membrane | Dupont Filmtec  LCLE- Pro-4040 | Hydraunautic 4040 | Membrane 100gpd Taptec
Wt-Membranes Accessories,Membrane,1,5,5,0,Accepted,12,Water Treatment,Parts,10.0,8.0,7.2,6.84,6.84,6.156,Accepted by user: use proposed Item Group mapping for all items in this group.,End Cap for HM 90 | Membrane Connectors for 4040 | Membrane Connectors for 8040 | Endcap 8040 Holder
Wt-Microfilters,Wt-Parts,0,17,17,0,Accepted,10,Water Treatment,Equipment,50.0,40.0,36.0,34.2,34.2,30.78,Accepted by user: use proposed Item Group mapping for all items in this group.,"Microfilter SS 200X1000 40"" 10C | Microfilter HPCF 40""5C Complete with Spun filter 40"" 1 mic | Microfilter HPCF 5DC1 10""5C | Microfilter HPCF 3DC4 40""3C"
Wt-Mpvs,Wt-Parts,0,53,53,0,Accepted,12,Water Treatment,Parts,10.0,8.0,7.2,6.84,6.84,6.156,Accepted by user: use proposed Item Group mapping for all items in this group.,"Auto Softener valve F69A3 (73602) 2m3 (3/4"") | Automatic MPV GL4-2 | Reducer/Adapter 6'-4'JD-505 BJ2 (Reducer/Adapter 6''-4'' BJ-2 JD-505 (Threaded)) | Bottom Distributor SMF 40NB spare part"
Wt-Ph Meter,Wt-Parts,1,0,0,0,Accepted,27,Specialized Industrial Products,Parts,10.0,8.0,7.2,6.84,6.84,6.156,Accepted by user: use proposed Item Group mapping for all items in this group.,
WT-PLANT'S,WATER TREATMENT,1,0,0,0,Accepted,10,Water Treatment,Equipment,50.0,40.0,36.0,34.2,34.2,30.78,Accepted by user: use proposed Item Group mapping for all items in this group.,
Wt-Pressure Gauge,Wt-Parts,1,0,0,0,Accepted,27,Specialized Industrial Products,Parts,10.0,8.0,7.2,6.84,6.84,6.156,Accepted by user: use proposed Item Group mapping for all items in this group.,
Wt-Pressure Switch,Wt-Parts,1,0,0,0,Accepted,32,Share Electricals& Cables,Controls & Electricals,10.0,8.0,7.2,6.84,6.84,6.156,Accepted by user: use proposed Item Group mapping for all items in this group.,
